LINK_ID,ROAD_RANK,LANE_NUM,전일
1017128.0,특별광역시도,1.0,2660
1017135.0,일반국도,5.0,34215
1017136.0,일반국도,5.0,28278
1017137.0,일반국도,6.0,32294
1017138.0,일반국도,6.0,27929
1017139.0,특별광역시도,1.0,7190
1017140.0,특별광역시도,6.0,24084
1017141.0,특별광역시도,6.0,19606
1017146.0,일반국도,6.0,24544
1017147.0,일반국도,6.0,23006
1017148.0,특별광역시도,7.0,25645
1017149.0,특별광역시도,7.0,22351
1017150.0,특별광역시도,3.0,24551
1017151.0,특별광역시도,2.0,15837
1017152.0,특별광역시도,4.0,15278
1017153.0,특별광역시도,4.0,28199
1017154.0,특별광역시도,7.0,25112
1017155.0,특별광역시도,6.0,24359
1017156.0,특별광역시도,6.0,24750
1017157.0,특별광역시도,6.0,23328
1017158.0,특별광역시도,4.0,16615
1017161.0,특별광역시도,2.0,21395
1017162.0,일반국도,8.0,38032
1017163.0,일반국도,8.0,41654
1017164.0,일반국도,3.0,26088
1017165.0,특별광역시도,5.0,22983
1017166.0,일반국도,6.0,31502
1017167.0,일반국도,7.0,33520
1017172.0,특별광역시도,4.0,27032
1017173.0,특별광역시도,8.0,28527
1017174.0,특별광역시도,8.0,21097
1017176.0,특별광역시도,6.0,22163
1017177.0,특별광역시도,6.0,27452
1017178.0,특별광역시도,3.0,28309
1017179.0,특별광역시도,4.0,29025
1017184.0,일반국도,4.0,30697
1017185.0,일반국도,4.0,35241
1017186.0,일반국도,6.0,31826
1017187.0,일반국도,6.0,34077
1017188.0,일반국도,4.0,27508
1017189.0,일반국도,4.0,30267
1017190.0,특별광역시도,2.0,15536
1017191.0,일반국도,3.0,25808
1017194.0,일반국도,4.0,28312
1017195.0,일반국도,3.0,29227
1017197.0,특별광역시도,4.0,29658
1017199.0,특별광역시도,1.0,7285
1017200.0,특별광역시도,7.0,24745
1017201.0,특별광역시도,7.0,25043
1017202.0,특별광역시도,7.0,21602
1017203.0,특별광역시도,7.0,26742
1017204.0,특별광역시도,1.0,8324
1017208.0,특별광역시도,4.0,23790
1017209.0,특별광역시도,4.0,25600
1017210.0,특별광역시도,3.0,20328
1017211.0,일반국도,6.0,23164
1017212.0,특별광역시도,3.0,33226
1017215.0,특별광역시도,3.0,19935
1017220.0,특별광역시도,4.0,30741
1017223.0,특별광역시도,3.0,28827
1017224.0,특별광역시도,8.0,25271
1017225.0,특별광역시도,8.0,28734
1017226.0,특별광역시도,1.0,4720
1017227.0,특별광역시도,1.0,4966
1017230.0,특별광역시도,2.0,23632
1017233.0,특별광역시도,4.0,36786
1017241.0,특별광역시도,4.0,29550
1017243.0,특별광역시도,4.0,28752
1017244.0,특별광역시도,1.0,4983
1017246.0,특별광역시도,4.0,28857
1017250.0,특별광역시도,6.0,16541
1017251.0,특별광역시도,6.0,14880
1017252.0,특별광역시도,7.0,24351
1017253.0,특별광역시도,7.0,25103
1017254.0,특별광역시도,4.0,28886
1017255.0,특별광역시도,4.0,36986
1017256.0,특별광역시도,1.0,8380
1017257.0,특별광역시도,6.0,28574
1017258.0,특별광역시도,6.0,24186
1017259.0,특별광역시도,2.0,14299
1017260.0,특별광역시도,6.0,25974
1017261.0,특별광역시도,6.0,29063
1017266.0,일반국도,4.0,54488
1017282.0,특별광역시도,1.0,14925
1017296.0,특별광역시도,2.0,6003
1017297.0,특별광역시도,2.0,11150
1017299.0,특별광역시도,2.0,3570
1017300.0,특별광역시도,2.0,5926
1017301.0,특별광역시도,1.0,4925
1017302.0,특별광역시도,1.0,14101
1017324.0,특별광역시도,1.0,17742
1017325.0,특별광역시도,3.0,15776
1017326.0,특별광역시도,3.0,17845
1017329.0,특별광역시도,1.0,5642
1017330.0,특별광역시도,2.0,8664
1017331.0,특별광역시도,2.0,18997
1017332.0,특별광역시도,4.0,25556
1017333.0,특별광역시도,4.0,28612
1017334.0,특별광역시도,4.0,29354
1017335.0,특별광역시도,4.0,23362
1017336.0,특별광역시도,6.0,31559
1017337.0,특별광역시도,6.0,34236
1017338.0,특별광역시도,2.0,11581
1017339.0,특별광역시도,2.0,10436
1017346.0,특별광역시도,4.0,9425
1017347.0,특별광역시도,3.0,9935
1017348.0,특별광역시도,6.0,16755
1017350.0,일반국도,3.0,40845
1017358.0,특별광역시도,6.0,24701
1017359.0,특별광역시도,6.0,18892
1017360.0,특별광역시도,6.0,21979
1017361.0,특별광역시도,6.0,17971
1017362.0,일반국도,4.0,33924
1017369.0,특별광역시도,2.0,18276
1017370.0,특별광역시도,2.0,19952
1017374.0,일반국도,4.0,72978
1017375.0,일반국도,4.0,21495
1017376.0,일반국도,4.0,51951
1017377.0,일반국도,3.0,20734
1017378.0,일반국도,3.0,17767
1017400.0,일반국도,4.0,33765
1017401.0,일반국도,4.0,33033
1017402.0,일반국도,4.0,38209
1017403.0,특별광역시도,6.0,22691
1017404.0,특별광역시도,6.0,16730
1017405.0,특별광역시도,4.0,10152
1017406.0,특별광역시도,4.0,12999
1017408.0,특별광역시도,4.0,30112
1017410.0,일반국도,4.0,31203
1017411.0,특별광역시도,6.0,20931
1017412.0,특별광역시도,6.0,18454
