아파트,동명,법정동,지번,거래금액,전용면적
탑건위너스빌,,신월동,145-9,"47,000",84.98
목동신시가지7,,목동,925,"214,000",66.6
수명산롯데캐슬,,신월동,1036,"70,000",84.96
목동신시가지10,,신정동,311,"139,700",53.82
목동에버하임,,목동,966,"43,000",41.06
목동우성2,,신정동,337,"94,000",84.96
대원칸타빌2,,목동,941,"127,000",84.98
대성유니드2차,,신정동,1198-3,"62,000",59.95
목동성원(926-8),,목동,926-8,"109,000",58.05
목동경동미르웰,,신정동,972-2,"13,000",14.02
목동센트럴푸르지오,,목동,404-13,"196,500",84.9914
목동신시가지11,,신정동,325,"123,500",51.48
목동신시가지5,,목동,912,"192,000",65.08
신월동방원,,신월동,1032,"53,000",84.86
벽산블루밍1단지,,신월동,1022,"67,500",59.9465
목동센트럴아이파크위브4단지,,신월동,1078,"117,500",84.98
목동센트럴아이파크위브2단지,,신월동,1076,"97,800",59.97
래미안목동아델리체(101동~118동),,신정동,1326,"127,000",59.98
롯데캐슬위너,,목동,956,"125,000",84.97
신월시영,,신월동,987-1,"46,400",43.2
목동신시가지12,,신정동,326,"147,500",60
목동신시가지4,,목동,904,"228,000",95.67
목동2삼성래미안,,신정동,1295,"135,000",114.16
목동신시가지6,,목동,911,"245,000",95.03
목동청구한신아파트,,목동,929,"153,500",84.77
목동신시가지1,,목동,901,"228,000",99.15
목동신시가지14,,신정동,329,"177,000",71.4
목동신시가지8,,신정동,314,"186,000",71.77
신트리1,,신정동,1259,"70,400",59.73
청솔수(711-6),,내발산동,711-6,"80,200",84.92
남광쉐르빌(923-10),,화곡동,923-10,"23,700",42.33
은하,,화곡동,1039-2,"44,000",79
청성,,방화동,866,"75,000",83.6982
오케이A,A,화곡동,102-90,"19,900",62.54
신안,101,마곡동,422,"100,000",84.97
대종,,화곡동,1077-1,"42,000",66.87
송이,,화곡동,1130-1,"44,500",84.75
리버펠리스1동,1,염창동,257,"135,000",142.42
웰라이빌,,화곡동,927-1,"53,000",84.85
태경(347-13),,화곡동,347-13,"30,000",82.79
강서아이파크,,화곡동,980-21,"70,000",83.077
일광,,화곡동,343-33,"34,950",65.98
마곡드림힐,101,방화동,872,"64,000",84.5338
서부인터빌아파트,,화곡동,1074-18,"50,000",83.4225
대동황토방,,등촌동,631-9,"46,800",59.78
등촌동현대2차,201,등촌동,655-46,"72,500",94.69
우장산월드메르디앙,,내발산동,734,"85,500",84.4476
태진한솔,102,염창동,263,"71,000",58.87
마곡수명산파크3단지,307,내발산동,751,"90,000",84.76
마곡엠밸리8단지,803,마곡동,741,"134,000",84.74
마곡우림1차아파트,102,방화동,873,"68,500",84.971
마곡삼성아파트,,마곡동,1478,"60,000",59.95
내츄럴2차,,내발산동,696-2,"49,000",83.04
동성,109,방화동,817,"83,000",84.95
삼성꽃마을,,방화동,858,"59,500",59.99
벽산늘푸른,,염창동,290,"65,300",59.97
한림리첸빌101동,,마곡동,1168,"60,000",84.42
방화4단지,,방화동,831,"97,500",134.65
우장산숲아이파크,103,화곡동,1173,"113,500",59.9983
이너스101동,,내발산동,688-5,"54,000",84.75
관음삼성,,염창동,268,"79,000",59.96
혜성오피아파트,,화곡동,343-49,"26,700",29.44
가양역두산위브,,등촌동,726,"92,500",59.98
마곡수명산파크2단지,,내발산동,741,"109,500",84.68
남광아파트,,화곡동,917-5,"31,950",45.72
마곡우촌아파트,,방화동,907,"47,100",28.29
장미,,방화동,841,"44,500",39.96
공항동부센트레빌,,공항동,1374,"82,500",84.99
신안네트빌1단지,,방화동,868,"62,500",91.9719
A.G.S.드림,,내발산동,674-20,"38,000",63.46
한진로즈힐,,방화동,579,"64,000",59.92
서광등촌마을아파트,,등촌동,638,"67,000",59.67
스카이,,공항동,14-10,"49,800",82.14
"등촌7,8단지주공아파트",,등촌동,707,"56,900",41.85
미성아파트(연립),,화곡동,409-248,"57,500",81.89
월드메르디앙,,등촌동,711,"84,500",84.97
삼성한마음,,염창동,244-2,"73,000",59.94
원미,,방화동,614-11,"71,000",54.75
염창동한강우성,,염창동,66-9,"85,000",84.7
초록,,화곡동,1139,"71,500",59.34
마곡엠밸리5단지,,마곡동,740,"163,000",114.86
금호타운,,염창동,240-32,"76,500",59.88
GMValley,,화곡동,899-27,"20,000",27.16
마곡엠밸리9단지,,마곡동,744,"134,000",84.89
가양도시개발9-2단지,911,가양동,1490,"48,900",34.44
마곡수명산파크4단지,,내발산동,753,"88,000",59.84
세림아파트,,화곡동,917-4,"23,500",37.925
마곡엠밸리3단지,,마곡동,736,"132,000",84.95
등촌동아이파크,,등촌동,715,"96,500",84.9958
제이월드에메랄드,,내발산동,674-32,"50,000",84.32
마곡힐스테이트,,마곡동,725-1,"121,000",59.99
마곡엠벨리(15단지),1503,마곡동,751,"140,000",84.95
성재센트리움아파트,,화곡동,143-6,"16,200",20.3
통일101동(597-38),,방화동,597-38,"47,500",80.64
한강타운,,가양동,1460,"108,000",84.99
부영,,등촌동,691-3,"88,400",80.64
마곡서광(치현마을),,방화동,860,"48,400",59.67
대림e-편한세상,,방화동,874,"80,000",84.67
우장산롯데캐슬,,화곡동,1145,"133,000",177.86
마곡청구아파트,,마곡동,1181,"62,500",59.91
한미(286-1),,방화동,286-1,"36,900",40.02
화곡한강,,화곡동,1059-19,"49,000",88.95
유원펠리체(924-17),,화곡동,924-17,"22,000",42.85
강서월드메르디앙,,내발산동,659-1,"90,000",84.8945
"등촌1,2단지주공아파트",,등촌동,687,"55,000",41.85
화곡푸르지오,,화곡동,1091,"110,900",130.279
탑건진선미,,화곡동,1155,"68,500",84.81
계명위너스,,등촌동,646-29,"27,000",29.38
마곡우림필유아파트,,마곡동,1467,"91,500",84.528
개화,,방화동,819,"77,500",101.86
강변월드메르디앙,,염창동,240-1,"105,000",84.9341
e편한세상염창,,염창동,309,"143,500",84.6352
NS파크APT,,화곡동,1076-9,"26,900",28.91
염창3우성,,염창동,272-28,"84,000",84.96
주공3,,등촌동,688,"83,000",58.14
마곡13단지힐스테이트마스터,,마곡동,748,"127,000",59.9825
메종드로제,,화곡동,926-3,"37,000",49.26
강서한강자이,,가양동,1500,"153,000",102.9171
염창1차한화꿈에그린,,염창동,281-22,"113,000",59.94
빛고을우방,,가양동,448-9,"74,500",59.97
대림e편한세상,,화곡동,361-1,"68,500",84.84
마곡수명산파크7단지,,내발산동,756,"85,800",84.68
마곡엠밸리11단지,,마곡동,746,"119,500",59.79
강변힐스테이트,,염창동,299,"110,000",84.99
주공10,,등촌동,702,"75,000",58.14
신송타워,,등촌동,662-3,"58,000",84.96
일신건영휴먼빌,,가양동,1496,"77,500",59.984
주공5,,등촌동,695,"57,000",37.67
이너스내안에,,염창동,254-2,"66,300",59.9
마곡태승훼미리아파트,,마곡동,1454,"61,000",80.25
가양6단지,,가양동,1485,"73,500",49.5
청솔,,방화동,832,"55,000",49.2
에이원,,화곡동,392-58,"25,800",49.81
마곡중앙하이츠아파트,,방화동,852,"37,800",39.58
방화그린,,방화동,839,"40,500",39.76
가양2단지(성지),,가양동,1461,"62,000",39.6
동신대아,,가양동,1459,"132,900",134.88
가양강나루현대,,가양동,448-1,"89,500",59.76
한강동아,,염창동,293,"79,500",59.97
삼정그린코아,,염창동,282,"120,000",114.877
마곡수명산파크5단지,,내발산동,749,"89,700",59.76
강서힐스테이트,,화곡동,1165,"135,000",84.99
성재센트리움아파트(343-35),,화곡동,343-35,"22,600",29.97
방화5,,방화동,814,"40,500",33.18
대림경동아파트,,가양동,1474,"124,500",131.4
"우장산아이파크,이편한세상",,화곡동,1159,"146,000",114.98
우장산힐스테이트,,내발산동,657,"109,000",59.98
고척LIG리가1차,,고척동,340,"81,000",84.98
이화우성,101,구로동,1260,"57,500",59.82
구로지웰,,구로동,1287,"56,000",59.651
금호,,구로동,49,"45,000",84.7
다청림101동(143-1),,궁동,143-1,"47,500",84.21
대상,102,개봉동,477,"54,900",84.94
천왕연지타운1단지,110,천왕동,280,"91,000",84.98
우성(23),1,구로동,23,"74,500",51.44
쌍용플래티넘노블,,구로동,46,"78,800",107.98
우남퍼스트빌더센트럴,601동,항동,244,"75,000",79.9913
신도림 아르디에,,신도림동,695,"34,500",33.02
고척월드메르디앙,,고척동,343,"72,000",84.92
(780-62),,구로동,780-62,"13,000",39.36
대림e-편한세상5,,신도림동,647,"118,000",84.789
천왕이펜하우스4단지,,천왕동,273,"72,000",84.97
개봉동상우,,개봉동,487,"55,000",64.91
한양수자인에듀힐즈,,항동,241,"82,000",76.88
벽산베스트블루밍,,고척동,342,"78,000",84.887
신도림3차푸르지오,,신도림동,435-10,"97,000",82.8
다청림(356),,오류동,356,"27,000",38.11
다솜금호,,구로동,43-4,"50,500",59.95
청구,,고척동,326,"55,800",59.94
(752-15),,구로동,752-15,"13,500",24.05
구로두산위브,,구로동,1278,"48,000",36.88
우성꿈동산,,고척동,321,"52,000",84.3
현대홈타운,,개봉동,480,"64,000",59.49
동인,,개봉동,335-1,"36,900",67.36
삼명,,고척동,97-3,"27,500",43.74
하버라인4단지,,항동,가-238,"64,200",59.86
삼호,,개봉동,471,"58,800",59.86
대림아르빌,,구로동,1273,"85,800",111.8
보람쉬움,,구로동,1271,"64,000",81.0944
서해그랑블,102,오류동,351,"54,000",84.71
동아1,,신도림동,643,"89,000",59.978
서울가든,,고척동,141-1,"54,000",64.39
동부(101동~103동),101,오류동,336,"51,000",59.98
율포그레이스빌,,개봉동,483,"57,500",84.78
(793-44),,구로동,793-44,"13,500",33.84
우림필유,,오류동,348,"56,000",59.95
한국현대,,구로동,642-39,"56,000",84.72
금강,,오류동,335,"48,500",84.96
동선,,오류동,345,"48,000",58.2159
(779-2),,구로동,779-2,"17,500",35.63
청솔우성,,고척동,329,"61,000",84.66
개봉동현대아이파크,,개봉동,489,"85,000",84.98
삼환로즈빌,,고척동,336,"91,000",84.994
길훈,,오류동,150-42,"29,000",53.94
동아한신,,고척동,327,"59,000",59.77
현대파크빌,,구로동,108,"87,500",153.259
산업인,,고척동,57-9,"22,000",48.04
고척파크푸르지오,,고척동,339,"105,000",84.94
한신휴플러스(1280-0),,구로동,1280,"57,300",50.17
SKVIEW,,신도림동,432-1,"99,000",84.96
하나세인스톤1차,,구로동,110-8,"15,500",21.7256
동부(105동~106동),,오류동,339,"47,800",59.58
현대연예인,,구로동,685-70,"50,700",54.86
센츄리,,고척동,320,"60,000",84.56
(752-37),,구로동,752-37,"13,900",27.29
천왕연지타운2단지,,천왕동,281,"82,000",101.99
디큐브시티,,신도림동,692,"98,500",59.16
신구로자이,,구로동,501,"84,000",101.96
항동중흥에스클래스베르데카운티,,항동,236,"88,000",84.9416
동부골든,,오류동,338,"57,200",113.43
우민늘푸른,,구로동,1279,"65,000",84.702
신안타워,,구로동,100-8,"58,500",84.95
대우,,고척동,296,"64,500",84.99
우성(1058),,구로동,1058,"53,000",59.34
동아2,,신도림동,644,"120,000",84.908
승윤노블리안,,구로동,1289,"55,200",58.109
신도림현대,,구로동,560,"88,000",80.01
한신플러스타운,,오류동,341,"53,600",59.91
오류동금호어울림,,오류동,347,"60,000",84.93
영화,,개봉동,475,"65,400",84.96
동아3,,신도림동,645,"123,000",84.99
청실,,개봉동,175-8,"48,500",64.56
신도림태영타운,,구로동,1267,"107,000",84.87
개봉푸르지오,,개봉동,492,"88,300",84.94
대림2,,신도림동,642,"79,500",59.88
대림1,,신도림동,642,"107,000",84.95
온수힐스테이트,,온수동,155,"87,000",102.6
대림e-편한세상4,,신도림동,646,"166,850",117.74
구로두산,,구로동,1265,"48,300",44.64
한일유앤아이,,고척동,337,"66,900",84.98
구일우성,,구로동,1259,"50,000",59.44
한진,,개봉동,478,"51,500",59.95
하버라인2단지,,항동,237,"67,500",59.86
신성미소지움,,구로동,1274,"64,400",84.23
현대상선,,구로동,685-147,"61,500",79.98
한양아이클래스구로,,개봉동,493,"37,500",45.32
순영웰라이빌1차,,구로동,106-10,"50,000",59.5
한마을,,개봉동,476,"69,500",59.57
(747-51),,구로동,747-51,"24,500",49.59
대림e-편한세상7,,신도림동,649,"144,500",116.308
신도림롯데아파트,,구로동,1263,"77,500",59.68
하버라인3단지,,항동,242,"77,500",74.87
성호메이플라워멤버스빌,,구로동,104-9,"20,000",41.4
대림역경남아너스빌,,구로동,1285,"68,000",84.8382
중앙아파트,,독산동,333-24,"20,500",35.61
가산피어니빌,,가산동,143-20,"13,000",13.3709
진도2차,,독산동,1133,"43,300",59.95
각산,,독산동,1093-5,"49,000",84.78
낙원,,시흥동,952,"28,000",59.68
원평5차,,가산동,239-22,"32,900",62.53
한아마인드,,독산동,1142,"51,700",73.81
남서울건영아파트,,시흥동,992-2,"58,000",77.02
대도훼미리,,시흥동,989-11,"29,200",59.01
신도브래뉴,,독산동,955,"62,500",73.2
시흥동월드메르디앙,,시흥동,806,"44,900",59.88
칠성(3),,시흥동,977-11,"37,000",71.68
동양드림아파트,,독산동,378-77,"26,000",50.98
금천롯데캐슬골드파크2차201동202동,201,독산동,1150,"85,000",59.98
가산지웰에스테이트2차,1동,가산동,143-6,"12,500",14.12
관악산신도브래뉴,,시흥동,1017,"65,000",84.8
독산동아아파트,,독산동,183-1,"53,000",84.87
라이프,,독산동,1131,"52,000",84.74
덕산,,가산동,148-1,"44,700",59.97
주상복합두산,,가산동,772,"37,500",59.25
우방,,시흥동,1011,"54,000",84.84
남서울건영2,,시흥동,384-12,"41,000",61.14
e편한세상독산더타워,,독산동,1007-13,"74,000",59.8245
독산주공14단지,,독산동,1088,"35,000",44.94
가산양우내안에애플,1,가산동,141-2,"9,700",12.04
금천롯데캐슬골드파크3차,,독산동,1155,"92,500",59.9672
럭키남서울아파트,,시흥동,1002-1,"53,200",49.79
금천롯데캐슬골드파크1차,,독산동,1147,"91,000",59.9384
벽산3,,시흥동,1006,"49,500",84.96
한신아파트,,독산동,1093-4,"61,000",89.46
명도힐스티지,,독산동,962-32,"26,000",29.63
남서울힐스테이트,,시흥동,1026,"84,500",84.677
리치힐101동(993-25),,독산동,993-25,"52,700",105.09
문성,,독산동,887-7,"39,000",68.76
동은5차,,독산동,883-21,"48,000",80.47
금천현대,,독산동,711-2,"53,000",59.82
독산동중앙하이츠빌,,독산동,1140,"70,500",84.8768
관악산벽산타운5,,시흥동,1013,"56,800",84.97
힐탑,,독산동,894-20,"36,500",69.68
무지개,,시흥동,109-1,"45,000",53.75
거성파스텔,,양평동3가,90-1,"89,000",59.96
당산효성1차,104,당산동5가,12,"106,500",59.85
당산계룡리슈빌2단지,,당산동3가,566,"70,000",38.77
문래두산위브,,문래동5가,14,"75,000",65.46
양평역미소지움,,양평동3가,106,"58,000",37.8
당산디오빌,,당산동5가,11-33,"34,500",28.86
문래동삼환,,문래동4가,43,"82,200",59.85
롯데캐슬아이비,102,여의도동,43-4,"207,000",113.59
당산대우,102,당산동2가,16-1,"34,000",31.73
대림현대,101,대림동,946-1,"75,500",84.96
동양,,양평동6가,100,"85,500",84.85
우성5,502,신길동,4933,"83,350",84.98
한솔,,양평동6가,99,"72,200",59.28
보라매경남아너스빌,,신길동,4780,"86,500",59.78
한신공영,,양평동1가,14-1,"75,000",59.98
당산삼성2차,,당산동4가,94-1,"116,500",84.93
브라운스톤당산,,당산동4가,98,"118,500",84.035
한성,,신길동,769-1,"84,000",59.87
당산어울림2차,,당산동3가,563,"108,500",84.8711
문래자이,,문래동3가,54,"149,000",84.98
문래건영,,문래동3가,93-1,"85,000",59.4
당산현대3차,,당산동4가,88,"108,500",73.27
당산한양,,당산동3가,2-6,"102,500",84.93
당산2가현대홈타운,,당산동2가,164,"113,650",82.77
진주,,여의도동,54,"165,000",48.26
영등포자이르네,,대림동,1132,"64,000",49.01
드림리버빌,,당산동,378,"84,000",74.14
당산푸르지오,,영등포동8가,91,"122,000",59.7
우림루미아트,,양평동3가,102,"87,000",59.98
신동아파밀리에,,당산동1가,457,"93,000",84.96
현대6차,,문래동6가,55-1,"61,500",50.55
신길자이,,신길동,4938,"90,000",59.99
우성3,,신길동,4656,"70,900",53.24
신길센트럴아이파크,,신길동,4955,"136,000",84.98
래미안영등포프레비뉴,,신길동,4945,"135,300",84.98
래미안에스티움,,신길동,4950,"157,000",84.97
선유도삼성홈타운,,양평동6가,101,"67,000",73.15
현대2차,,양평동3가,79-4,"107,000",80.92
영등포중흥에스클래스,,양평동1가,271,"105,000",59.97
한강아파트,,당산동4가,29,"107,500",84.98
광장,,여의도동,28,"267,000",101.39
리버타워,,여의도동,61-5,"237,000",234.02
더샵파크프레스티지,,신길동,4974,"112,000",59.8995
우성1,,대림동,696,"87,000",83.59
양평벽산블루밍,,양평동2가,23,"62,000",51.24
오목교벽산블루밍,,양평동2가,39-1,"67,000",59.85
미성,,여의도동,37,"255,000",101.29
다울아파트102동,,신길동,456-93,"83,000",96.34
삼환,,영등포동8가,76-1,"98,000",59.91
시범,,여의도동,50,"225,000",79.24
두산위브,,영등포동,649,"92,000",83.98
당산현대5차,,당산동4가,30-1,"134,300",84.69
문래모아미래도,,문래동5가,67,"119,000",84.75
성원,,양평동4가,12,"90,200",84.66
e편한세상영등포아델포레,,대림동,1127,"120,000",84.9571
보라매 신동아 파밀리에,,대림동,1125,"81,000",59.95
문래공원한신,,문래동3가,77-2,"88,500",58.96
래미안당산1차,,당산동,374,"125,000",84.99
양평현대6차,,양평동3가,101,"110,000",84.94
진로,,당산동1가,16-1,"91,200",59.4
문래해태,,문래동3가,13,"55,000",59.8
신길센트럴자이아파트,,신길동,4964,"134,000",59.98
남성,,문래동2가,35,"73,000",58.52
여의도이튼브라운,,영등포동1가,92-3,"46,000",29.87
문래힐스테이트,,문래동3가,94,"148,000",137.82
양평한신,,양평동5가,76,"92,500",59.94
영등포아트자이,,도림동,821,"137,000",120.038
강변래미안,,당산동,376,"122,000",79.43
당산효성타운2차,,당산동5가,13,"147,500",84.38
e편한세상 문래 에듀플라츠,,문래동6가,58,"105,000",59.9833
당산센트럴아이파크,,당산동5가,43,"181,000",84.98
당산계룡리슈빌3단지,,당산동3가,565,"75,500",49.993
문래현대5차,,문래동5가,23-1,"82,000",84.79
신길파크자이,,신길동,4967,"149,000",84.99
공작,,여의도동,21-2,"310,000",132.73
보라매에스케이뷰,,신길동,4958,"133,000",59.98
문래베어스타운,,문래동6가,38-1,"76,000",59.95
영등포푸르지오,,영등포동,647,"110,000",73.133
당산삼성래미안4차,,당산동5가,42,"211,000",133.42
브라이튼여의도,,여의도동,525,"405,600",101.9509
아크로타워스퀘어,,영등포동7가,203,"223,000",115.58
현대3차,,양평동3가,79,"88,000",71.5
힐스테이트클래시안,,신길동,4969,"131,000",59.91
포레나영등포센트럴,,영등포동7가,208,"143,000",84.8025
문래미원,,문래동6가,54,"72,500",59.4
우성2,,신길동,4518,"95,000",64.4
보라매파크빌,,신대방동,711,"94,000",84.73
경동윈츠리버,,본동,484,"93,000",56.68
우성1차,,신대방동,565,"86,000",66.69
롯데캐슬비엔,,상도동,530,"105,000",84.95
보라매코오롱하늘채,101,대방동,509,"95,000",84.7
상도동래미안1차,,상도동,450,"117,500",84.959
아데나339,,대방동,515,"13,500",15.36
이수브라운스톤상도(527-0),,상도동,527,"128,000",84.99
경남아너스빌1차,101,사당동,1134,"76,500",59.9
보라매나산스위트,,신대방동,395-68,"110,000",219.51
씨티아모리움,,상도동,532,"12,400",12.7071
상도1차갑을명가,102,상도동,458,"84,500",84.72
주공2,201,대방동,503,"84,000",51.66
대방1차e-편한세상,101,대방동,508,"145,000",84.32
건영,102,상도동,414,"59,300",32.8
우성2차,,신대방동,565-21,"75,000",76.84
노량진맨션,,노량진동,227-5,"138,000",69.09
삼호그린,,사당동,1138,"105,500",84.72
쌍용예가,,노량진동,332,"113,000",59.957
삼인,,대방동,385-11,"60,000",80.58
동작상떼빌,,신대방동,719,"93,000",84.98
이수역리가,,사당동,1157,"136,500",84.9827
유원강변,,본동,482,"113,000",59.79
대성유니드,,사당동,1155,"81,500",84.96
제일,,사당동,240-15,"79,500",60.03
이수힐스테이트,,동작동,333,"184,000",108.3358
경남교수,,신대방동,710,"105,000",84.94
보라매삼성쉐르빌,,신대방동,395-66,"158,000",163.83
반석블레스,,사당동,1158,"72,800",59.86
현대홈타운2,,대방동,506,"88,700",59.89
신동아리버파크,,노량진동,325,"113,000",84.88
롯데캐슬에듀포레,,흑석동,340,"186,000",84.9778
쌍용스윗닷홈,,상도동,418,"94,500",59.578
대방동현대,,대방동,502,"103,000",84.96
상도두산위브,,상도동,529,"132,000",84.534
두산위브트레지움,,사당동,1131,"189,000",118.4843
경남아너스빌(대아3),,사당동,1136,"102,000",84.63
래미안트윈파크,,본동,494,"182,000",84.76
중앙하이츠빌,,상도동,415,"109,000",84.9883
벽산,,신대방동,709,"69,800",59.76
이수푸르지오더프레티움,,사당동,1161,"179,000",84.9728
한신휴플러스,,본동,487,"120,000",114.91
사당휴먼시아,,사당동,1154,"90,000",84.73
동원베네스트,,상도동,528,"116,800",84.958
이수교KCC스위첸,,동작동,332,"125,000",84.98
레디앙스,,사당동,238-6,"59,000",73.87
한강현대,,흑석동,28,"193,000",83.475
래미안로이파크,,사당동,1159,"165,000",84.98
케이씨씨,,사당동,1153,"93,500",84.7472
상도효성해링턴플레이스,,상도동,536,"128,000",84.8136
포스코더샵,,상도동,521,"126,500",59.995
아크로리버하임,,흑석동,341,"220,000",84.9184
아이파크,,상도동,416,"114,000",84.96
두산위브트레지움2차,,상도동,535,"149,500",84.864
롯데낙천대,,신대방동,713,"86,300",55.4561
신동아5,,사당동,1137,"111,700",84.66
흑석한강푸르지오,,흑석동,336,"170,000",84.98
한성아파트,,신대방동,470-8,"85,000",59.87
우리유앤미,,흑석동,329,"104,500",83.5859
상도더샵2차,,상도동,534,"129,000",84.99
삼성래미안2,,상도동,421,"94,000",59.886
래미안상도3차,,상도동,431,"100,000",59.97
힐스테이트 상도 센트럴파크,,상도동,531,"150,000",84.6099
대림(169-8),,사당동,169-8,"129,400",84.91
e편한세상상도노빌리티,,상도동,903,"166,500",84.9704
롯데캐슬,,사당동,1132,"72,000",117.68
흑석한강센트레빌,,흑석동,335,"185,000",84.91
사당우성3,,사당동,105,"126,500",118.25
보라매e편한세상,,신대방동,720,"104,000",59.98
사당롯데캐슬골든포레,113,사당동,1160,"126,000",84.9787
메가스터디타워,,노량진동,57-1,"15,000",15.974
건영(103동-106동),,노량진동,324,"104,000",84.94
사당우성2,,사당동,105,"163,000",118.25
신동아4,,사당동,105,"136,500",84.46
흑석동양아파트,,흑석동,328,"96,000",59.511
명수대현대,,흑석동,10,"187,000",78.07
대림아파트,,대방동,501,"97,000",59.84
경남아너스빌,,대방동,512,"126,500",84.805
힐스테이트 상도 프레스티지,202,상도동,533,"140,000",84.951
상도역롯데캐슬파크엘,,상도동,904,"132,500",59.9818
상도파크자이,,상도동,900,"175,000",84.918
보라매자이더포레스트,,신대방동,724,"119,000",59.9278
흑석한강센트레빌Ⅱ,,흑석동,339,"171,000",84.946
극동(105),,사당동,105,"78,000",46.75
태영,,신림동,1424-28,"40,500",42.24
신림2차현대,,신림동,551-9,"63,000",59.91
은천2단지아파트,,봉천동,1707-1,"51,000",49.95
동원낙성대,101,봉천동,1630-7,"94,000",97.32
서울대입구아이원(1560-62),202,봉천동,1560-62,"85,000",59.96
선경,,봉천동,1697,"50,000",50.49
관악청광플러스원,,봉천동,1726,"50,000",59.81
서초,,신림동,1724,"58,500",77.75
관악캠퍼스타워,,봉천동,875-1,"23,000",35.76
부미아띠랑스힐,,봉천동,1715,"59,000",83.95
한라타운아파트,,신림동,763,"60,000",79.7905
건영6,101,봉천동,1701,"66,500",59.9
서울대입구아이원(1560-61),104,봉천동,1560-61,"77,200",59.96
프라비다1,,봉천동,869-3,"14,500",14.38
G밸리마인드,,신림동,1655-17,"19,600",14.96
신림동신도브래뉴,,신림동,1722,"95,000",115.62
복권,제2호동,봉천동,645-87,"20,500",47.61
두영,,신림동,1717,"66,000",84.87
코스모블루,,봉천동,863-9,"13,000",14.47
효림다온,,신림동,1737,"67,750",84.79
미래,,신림동,1563-85,"48,000",83.46
관악산휴먼시아1단지,,신림동,1735-1,"68,000",84.97
신림2차푸르지오,,신림동,1736,"81,500",114.7143
청광,,신림동,1716,"42,500",59.91
신림푸르지오,,신림동,1730,"100,000",114.84
뉴파크플러스(1608-27),,봉천동,1608-27,"60,000",75.02
일두(1021),,봉천동,1021,"43,000",57.66
로마아트빌,,봉천동,635-457,"45,000",84.47
주공1,,신림동,1704-1,"42,000",59.5
관악파크푸르지오,,봉천동,1728,"81,500",59.98
우민조원,,신림동,1719,"70,000",101.446
아데나,,신림동,534-1,"12,000",18
건영4,,신림동,1702-1,"62,000",84.89
국제산장,,신림동,1693,"59,900",84.15
낙성대현대홈타운,,봉천동,1713,"122,500",114.919
서울대입구삼성,,봉천동,1591-2,"90,000",84.85
관악중앙하이츠포레,,봉천동,1737,"77,000",79.1689
앰팰리스아파트,,신림동,1743,"66,500",72.687
LIG대학마을(건영아파트3차),,신림동,1703-1,"55,000",58.9
프라비다2,,봉천동,867-12,"21,000",29.13
봉천동아,,봉천동,1703,"94,300",114.69
보라매삼성,,봉천동,1698-1,"89,900",84.84
동부,,신림동,1695,"86,000",78.43
서희스타힐스,,봉천동,1729,"67,500",59.92
건영2,,신림동,721-2,"33,500",43.92
금호2,,신림동,1706,"71,000",84.87
신봉,,봉천동,1705,"61,500",59.75
우정하이비전2,,신림동,1726,"65,000",84.58
힐스테이트뉴포레,,신림동,1746,"106,500",59.9882
낙성대현대(296),,봉천동,296,"75,000",59.78
동아타운,,봉천동,1629-2,"28,000",28.8
관악산휴먼시아2단지,,신림동,1735,"57,500",59.96
보라매롯데캐슬,,봉천동,729-22,"144,000",166.39
프라비다트라움,,신림동,1433-55,"10,900",14.06
현대(관악),,봉천동,1000,"66,200",58.59
두산,,봉천동,1708,"104,000",84.87
라움아파트,,남현동,602-110,"55,000",52.41
벽산블루밍,,봉천동,1718,"75,000",59.99
e편한세상서울대입구2차,,봉천동,1733,"112,000",84.31
e편한세상서울대입구2단지,,봉천동,1730-1,"117,000",84.92
관악드림(동아),,봉천동,1712,"80,000",59.85
관악동부센트레빌,,봉천동,1719,"80,500",59.75
서울대역해담채,,봉천동,867-9,"14,500",14.48
해태보라매타워,,봉천동,729-32,"60,000",59.94
삼성산주공(주공3단지),,신림동,1714,"67,500",113.31
e편한세상서울대입구1단지,,봉천동,1730,"110,000",59.9
관악드림(삼성),,봉천동,1712,"110,000",114.75
낙성대현대아파트,,봉천동,179-58,"64,000",61.74
관악푸르지오,,봉천동,1717,"80,000",59.58
봉천우성,,봉천동,1706,"75,500",59.76
신림현대,,신림동,1694,"45,000",34.86
건영1,,신림동,746-43,"50,000",60.27
벽산블루밍3차,601,봉천동,1720,"76,800",59.8
임광,,방배동,1015,"264,500",136.38
서초호반써밋,,우면동,753,"175,000",101.0482
서초센트럴IPARK,,서초동,1582-3,"173,000",80.5154
브라운스톤잠원,,잠원동,67-2,"230,000",84.94
궁전,,반포동,65-1,"355,000",205.22
서초포레스타7단지,707,신원동,615,"103,000",59.81
서초포레스타2단지,201,내곡동,384,"153,000",84.48
서초이오빌,,서초동,1593-7,"32,400",36.66
서초3차e편한세상,505,서초동,1467-37,"248,000",158.24
한신타운,,잠원동,60-4,"200,000",63.94
브라운스톤서초(1677-1),,서초동,1677-1,"133,000",84.23
엠브이아파트,,반포동,46,"191,000",129.93
반포대우멤버스카운티,,반포동,111-11,"131,000",98.67
대주피오레아파트,,잠원동,31-14,"160,000",126.69
반포미도2차아파트,,반포동,60-5,"232,000",71.49
방배중앙센트레빌,,방배동,3282,"125,000",59.873
DK밸리뷰시티,,서초동,1584-6,"39,500",26.59
잠원현대훼밀리,,잠원동,59-3,"180,000",59.56
