아파트,동명,법정동,지번,거래금액,전용면적
정은스카이빌201동,,장안동,347-8,"57,700",84.6
청계한양아이클래스,,용두동,255-49,"18,500",14.22
비젼아파트101동,,장안동,455-1,"58,500",99.95
세진빌딩,,이문동,327-7,"20,000",11.48
대성장안애캐슬,주건축물제1,장안동,346-9,"26,000",52.04
이문2차푸르지오,201,이문동,427,"70,800",84.79
우성3차(562),,장안동,562,"71,700",84.26
U-포그니,,장안동,319-6,"35,000",57.64
신일해피트리2차(567),201,장안동,567,"71,500",84.83
한신휴플러스그린파크,,답십리동,1001,"80,000",59.69
장안트윈B동,,장안동,306-13,"50,000",84.34
르메이에르7차(313-8),,장안동,313-8,"52,500",84.99
형인허브빌아파트301동,,장안동,561,"55,000",82.43
이문동웰츠타워,101,이문동,292-10,"90,000",112.134
르메이에르1차(344-1),,장안동,344-1,"55,000",84.97
엘림스퀘어3,,답십리동,268-3,"16,900",14.76
휘경동일하이빌,106,휘경동,365,"76,700",84.997
태솔타운2차,1,장안동,367-4,"35,000",47.31
장안현대,14,장안동,95-1,"65,000",95.45
620-47(롯데캐슬L-65),,전농동,620-47,"177,000",84.97
현대홈타운2차,202,장안동,569,"80,000",84.97
신부파스카(313-7),장안신부파스카아파트,장안동,313-7,"53,300",84.99
경동미주,비,제기동,892-68,"70,000",96.96
글로벌팰리스,101동,장안동,415-10,"27,300",22.79
장한평월드메르디앙,101,장안동,573,"77,000",84.95
은하수드림필,,장안동,572,"66,000",84.91
청솔아파트(B동),B,장안동,372-16,"38,500",53.79
신일해피트리아파트101동,,장안동,564,"59,200",65.58
주성아우라,,이문동,254-40,"7,900",12.775
우창프라자,,답십리동,494-2,"75,000",95.76
한일노벨리아,1,답십리동,494-1,"13,200",14.76
아르떼하임,,장안동,372-12,"37,800",53.34
청계와이즈노벨리아,101,답십리동,1008,"83,000",59.8379
방원예뜨랑,,장안동,556,"60,800",89.2
일성트루엘,101,장안동,581,"77,500",84.9216
비젼아파트102동,,장안동,454-2,"58,000",84.4
청량리역한양수자인그라시엘,,용두동,39-1,"154,000",84.97
우성5차에비뉴,,장안동,583,"70,000",84.17
서광아침의빛,101,장안동,577,"80,000",84.98
이문휘경지웰에스테이트,,휘경동,377,"71,500",59.9848
회기아파트(347-7),,회기동,347-7,"50,800",82.66
에메랄드(351-5),1,장안동,351-5,"43,200",59.764
신부파스카(563),,장안동,563,"70,000",84.99
이문스카이뷰,,이문동,291-35,"38,000",25.99
천강(332-6),,장안동,332-6,"51,000",109.78
청계벽산메가트리움,,답십리동,999,"74,000",59.93
청명에버아트3차,,장안동,372-8,"46,200",52.96
청솔아파트(A동),A,장안동,372-9,"37,800",48.26
청계천대성스카이렉스2,102,용두동,255-66,"84,000",84.99
동일스카이씨티,,회기동,65-81,"36,700",62.66
롯데캐슬피렌체,102,용두동,790,"30,000",26.08
금강아미움,,장안동,574,"59,000",82.05
U포그니2차,101,장안동,586,"50,000",55.06
회기힐스테이트,101,회기동,351,"94,750",84.99
장안뉴시티,,장안동,372-5,"9,100",17.53
민족통일MJ캠퍼스외대3차,,이문동,327-1,"25,000",18.54
동대문더퍼스트데시앙,,장안동,587,"93,000",75.8896
에스아이팰리스장안센텀,,장안동,416-1,"37,500",26.537
은하수드림빌,101,장안동,579,"73,000",112.7904
청계지웰에스테이트,,답십리동,498-7,"13,800",19.525
정은스카이빌101동,,장안동,327,"59,000",110.44
장안푸르미에,,장안동,466-5,"12,650",17.5574
래미안엘파인아파트,108,답십리동,1000,"74,500",59.95
답십리한화,201,답십리동,994,"91,500",84.86
휘경제이스카이아파트,,휘경동,369,"65,000",84.43
캠퍼스드림오피스텔,,휘경동,336-32,"20,800",16.04
현대썬앤빌601,,장안동,373-3,"10,500",18.35
동대문베네스트,,용두동,100-5,"23,000",18.81
동양2차,202,휘경동,117,"75,500",84.614
경남하이빌,,장안동,578,"61,000",84.56
우성그린,106,답십리동,989-1,"54,000",59.36
상봉태솔아파트101동,,상봉동,105-97,"59,900",59.2
리치빌,리치빌 아파트,묵동,177-12,"53,000",105.78
동일스카이시티102동,,상봉동,284-13,"43,000",63.82
효산센터빌,101,묵동,391,"51,000",81.46
태능에셈빌,태능시장 주상복합빌딩,중화동,314-1,"60,000",84.843
남광타운,,중화동,413-8,"29,500",48.14
현대휴앤미,,중화동,11,"52,000",100.2
동성네스트빌,,면목동,181-30,"46,500",83.29
포인트아파트비동,,면목동,142-8,"49,000",83.2
한영(101),,중화동,274-51,"39,500",57.66
한울네세창,101,망우동,579,"46,000",84.68
삼성제이드아파트,,면목동,194-3,"39,000",46.41
동성5,501,신내동,788,"41,600",59.91
세모,,면목동,91-58,"37,900",68.35
"염광(5,8,10,11동)",5,망우동,178-80,"34,000",36.9
현대휴앤미(102동),,중화동,11-7,"41,400",67.36
정우아파트,,상봉동,269-7,"44,000",81.5
SM해그린,101,묵동,390,"65,800",84.32
금강산아파트,,상봉동,494,"39,500",66.54
예성그린캐슬,104,망우동,577,"50,250",58.9
두산6,601,면목동,1501,"55,000",59.55
금호어울림(580-1),113,망우동,580-1,"60,000",84.93
예성그린캐슬2차,,망우동,401-21,"52,500",84.81
묵동자이(1단지),,묵동,164-4,"95,000",112.23
건원베스트원,,면목동,105-4,"22,000",26.38
월등스카이뷰,,묵동,170-27,"72,800",105.237
미영리치타운,미영리치타운102,중화동,207-14,"64,600",84.71
더하이어,,망우동,508-6,"9,900",12.0156
동진노블클래스,,면목동,353-55,"50,000",80.4
한일써너스빌리젠시1단지(101동),한일써너스빌리젠시 1단지,망우동,479,"81,000",84.66
문수해오름,,망우동,490-30,"56,500",83.61
그린캐슬APT,,면목동,136-2,"33,500",59.62
공감대,,묵동,171-4,"57,400",59.959
백림금호,,망우동,574,"54,500",84.23
용마산금호어울림,102,면목동,1525,"72,200",84.699
킴스아파트,,면목동,126-1,"31,000",38.91
신내역힐데스하임참좋은아파트,501동,망우동,598,"84,000",84.8456
월드크라운,,신내동,616-1,"53,500",110.29
상봉힐스테이,,상봉동,106,"17,845",14.47
동일스카이시티101동,1,상봉동,284-11,"45,000",60.76
면목삼호101,,면목동,1513,"64,400",83.08
센트럴파크55,,상봉동,87-27,"46,800",48.83
한국,,묵동,378,"54,000",59.64
백운아파트,,상봉동,84-39,"45,000",77.98
주함해븐(101동),,망우동,582,"35,000",50.625
쌍용더플래티넘용마산,105동,면목동,1548,"102,000",84.9731
원당,,신내동,408-2,"38,700",63
로얄팰리스주상복합아파트,,망우동,508-15,"45,000",59.76
상봉어반뷰,,상봉동,113,"12,500",13.26
용마한신2,101,면목동,1073,"60,600",59.84
삼익아파트.상가동,,중화동,438,"50,500",59.34
세방,102,묵동,383,"48,700",59.94
새한,102,신내동,795,"64,000",115.84
일신강변,,면목동,1520,"51,500",59.6
현대휴온,,면목동,1535,"10,950",18.17
묵동포레시타,,묵동,393,"11,500",15.35
예원캐슬,,망우동,508-34,"22,900",33.94
경원,가,신내동,449-1,"30,000",55.89
한양수자인사가정파크,105,면목동,1543,"97,000",74.9394
정은스카이빌,,묵동,154-18,"51,800",84.66
개인택시주택조합(미성아파트),,면목동,1-41,"31,000",55.4
늘푸른동아,102,면목동,715,"71,300",84.97
망우역신원아침도시,,신내동,838,"60,000",57.991
진로아파트,712,신내동,654,"81,000",101.86
더클래스,,상봉동,85-4,"28,550",28.25
대보,1,망우동,236-7,"31,000",44.01
두산5,501,면목동,1522-1,"62,500",59.72
다우훼밀리,101,신내동,796,"57,000",84.87
종암선경,102,종암동,34-3,"50,500",59.4
샤인힐,,동소문동7가,75-10,"49,000",83.73
풍산쉐르빌(815-1),,정릉동,815-1,"55,000",78.22
"산장아파트가동,나동",나,정릉동,780,"49,000",71.5
코아루센타시아,,동선동1가,121-6,"83,000",113.02
정릉2차대주피오레,201,정릉동,1032,"54,500",59.9627
보문하우스토리,보문하우스토리,보문동4가,116,"104,500",117.025
대성유니드(641-0),102,돈암동,641,"74,500",84.93
정릉힐스테이트,105,정릉동,1025,"76,500",84.92
라온유,1002,정릉동,1034,"94,500",109.75
정릉스카이쌍용아파트,제101동,정릉동,1014,"78,500",109.27
참누리아파트,205,장위동,316-5,"75,000",84.98
동일하이빌뉴시티,102,하월곡동,230,"120,000",126.6
아이파크종암동2차,212,종암동,131,"94,000",84.73
청기와,,삼선동5가,63-3,"49,000",89.34
선경(127),,종암동,127,"49,500",59.17
샹그레빌아파트,,하월곡동,224,"65,800",79.248
휴아름스튜디오,1,성북동1가,35-22,"20,200",16.27
중앙하이츠빌2단지,203,정릉동,435,"73,000",84.6824
정릉힐스테이트1차,201,정릉동,1030,"72,000",84.307
성북,,성북동,348-3,"25,000",44.79
돈암동해피트리,104,돈암동,642,"107,000",132.43
피오레,,정릉동,1024,"72,000",104.65
트라움하임,,동선동5가,69-1,"39,000",60.78
동우,"에이,비,씨",정릉동,727-7,"20,500",49.62
석계역한일노벨리아시티,석계역 한일노벨리아시티,장위동,8-2,"11,900",15.2144
성북힐스테이트(101동),101,하월곡동,88-64,"83,000",101.97
삼선현대힐스테이트,106,삼선동2가,420,"72,500",56.83
안암동삼성래미안,,안암동1가,361,"90,000",84.8681
종암2차SKVIEW,202,종암동,135,"80,500",59.98
센트럴힐,,종암동,46-43,"40,000",77.44
정릉풍림아이원,125,정릉동,239,"49,500",59.88
정릉푸른마을동아,,정릉동,210,"59,500",59.94
돈암현대아파트,103,돈암동,1,"71,000",84.39
어반레프대원,,수유동,50-24,"54,000",52.07
청솔(269-25),,수유동,269-25,"34,000",68.65
장원(101),,번동,148-500,"40,000",71.1
수유벽산2차,201,수유동,648,"58,000",84.22
태솔타운,태솔타운,수유동,77-9,"16,000",30.5
한일,2,미아동,258-732,"33,500",54.99
현대(148-494),101,번동,148-494,"42,000",59.97
경원북한산휴그린,,수유동,268-17,"46,000",70.34
젬스톤타운,1,미아동,103-183,"45,000",78.09
수유역두산위브1,102,번동,410,"74,500",84.9909
은석,,수유동,697-1,"41,000",70.87
번동한양아파트,102,번동,133-1,"47,300",84.67
수유역두산위브2,,번동,411,"72,000",84.9909
형인휴아름,,수유동,732,"42,500",62.99
수유삼호,,수유동,63,"51,500",74.48
헤리움,,미아동,189-30,"44,500",29.89
동문,103,번동,657,"50,500",59.64
오동공원현대,103,번동,760,"56,500",84.7848
FIRSTVIEW,,수유동,274-3,"33,300",46.61
센트로힐,,번동,761,"49,000",72.7695
수유다우아트리체,,수유동,279-74,"13,500",14.86
다인플레움,,우이동,117-3,"25,000",66.73
예도팔라티움,,수유동,223-7,"14,900",13.47
도봉파크빌3,301,도봉동,644,"55,000",84.166
이에스에이아파트3,,방학동,716-1,"58,000",84.87
북한산한신휴플러스,102,창동,826,"88,000",114.5534
황지,황지아파트,창동,661-89,"27,000",62.04
성원팰리스,,쌍문동,100-2,"46,000",82.7
금강102,금강아파트,창동,629-29,"23,800",59.98
창동역블루핀2동,0002,창동,743-23,"50,000",65.83
DK포시즌,D.K 포시즌 아파트,창동,442-33,"34,500",77.85
한양수자인,도봉한양수자인,도봉동,657,"53,000",84.46
그린힐스아파트,,쌍문동,658,"39,500",54.83
