LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,전일,7-9시,18-20시
1036608,일반국도,영동대로,서울특별시,강남구,0.551,6,56953,6352,11058
1036609,일반국도,영동대로,서울특별시,광진구,0.551,6,64926,11665,9464
1036613,일반국도,동일로,서울특별시,성동구,0.135,2,16784,3290,2147
1036614,일반국도,동일로,서울특별시,광진구,0.03,1,2246,323,414
1036615,일반국도,동일로,서울특별시,광진구,0.032,2,21831,3153,3843
1036616,일반국도,동일로,서울특별시,광진구,0.031,1,1845,270,300
1036617,일반국도,동일로,서울특별시,광진구,0.031,2,16433,4021,2091
1036674,일반국도,자양로,서울특별시,광진구,0.026,7,24229,5382,4090
1036675,일반국도,자양로,서울특별시,광진구,0.026,7,34240,5842,5663
1036707,일반국도,자양로,서울특별시,광진구,0.056,8,35472,6749,5868
1036708,일반국도,자양로,서울특별시,광진구,0.056,8,32729,5276,6535
1036710,일반국도,동일로,서울특별시,성동구,0.242,2,19908,3737,2934
1036723,일반국도,송파대로,서울특별시,송파구,0.901,4,43205,6721,7812
1036725,일반국도,자양로,서울특별시,광진구,0.055,4,32094,4722,6482
1036801,일반국도,동일로,서울특별시,광진구,0.228,6,38452,5606,6779
1036802,일반국도,동일로,서울특별시,광진구,0.228,6,48343,9680,7019
1036856,일반국도,송파대로,서울특별시,광진구,0.047,4,43785,7649,7022
1036857,일반국도,송파대로,서울특별시,광진구,0.905,4,52231,9271,8890
1036920,일반국도,망우로,서울특별시,중랑구,0.027,6,33035,5283,6966
1036921,일반국도,망우로,서울특별시,중랑구,0.027,6,27786,5414,5306
1036922,일반국도,동일로,서울특별시,중랑구,0.171,2,14258,2591,2359
1036946,일반국도,동일로,서울특별시,노원구,0.158,6,23768,4465,4670
1036947,일반국도,동일로,서울특별시,노원구,0.158,6,25536,4508,4683
1036948,일반국도,동일로,서울특별시,노원구,0.632,6,25884,4735,4948
1036949,일반국도,동일로,서울특별시,노원구,0.632,6,20560,3743,4066
1036952,일반국도,동일로,서울특별시,노원구,0.377,6,19785,3232,3962
1036953,일반국도,동일로,서울특별시,노원구,0.377,6,21280,3766,4108
1036955,일반국도,동일로,서울특별시,노원구,0.52,6,23716,4142,4212
1036956,일반국도,동일로,서울특별시,노원구,0.611,6,25486,4359,4825
1036957,일반국도,동일로,서울특별시,노원구,1.014,6,20476,3786,4107
1036958,일반국도,동일로,서울특별시,노원구,1.014,6,22178,3992,4191
1036986,일반국도,동일로,서울특별시,노원구,1.222,6,22948,4349,3946
1036987,일반국도,동일로,서울특별시,노원구,0.909,6,21751,3995,4374
1037060,일반국도,동일로,서울특별시,노원구,0.041,6,24286,4751,4671
1037061,일반국도,용마산로,서울특별시,중랑구,0.952,6,24795,4619,4531
1037062,일반국도,경춘북로,서울특별시,중랑구,0.139,4,16027,2663,2298
1037063,일반국도,경춘북로,서울특별시,중랑구,0.139,4,15106,3273,3130
1037065,일반국도,망우로,서울특별시,중랑구,0.286,6,24785,4405,4335
1037066,일반국도,망우로,서울특별시,중랑구,0.286,6,24939,4479,4493
1037069,일반국도,망우로,서울특별시,중랑구,0.413,6,25107,4235,4418
1037070,일반국도,망우로,서울특별시,중랑구,0.479,6,25783,4389,5006
1037105,일반국도,동일로,서울특별시,중랑구,0.408,4,17449,2106,3997
1037106,일반국도,동일로,서울특별시,중랑구,0.408,4,20238,4432,3422
1037111,일반국도,망우로,서울특별시,동대문구,0.125,6,30259,5662,5651
1037112,일반국도,망우로,서울특별시,동대문구,0.125,6,28976,4821,5423
1037113,일반국도,망우로,서울특별시,중랑구,0.284,6,24142,4372,4151
1037114,일반국도,망우로,서울특별시,동대문구,0.284,6,25192,4195,4801
1037116,일반국도,망우로,서울특별시,중랑구,0.104,6,29148,4653,4949
1037117,일반국도,망우로,서울특별시,중랑구,0.104,6,28392,4969,5033
1037124,일반국도,왕산로,서울특별시,동대문구,0.344,6,25938,4265,4878
