LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,승용_전일,승용_7_9,승용_18_20,승용_8,승용_9,승용_19,승용_20,버스_전일,버스_7_9,버스_18_20,버스_8,버스_9,버스_19,버스_20,화물_전일,화물_7_9,화물_18_20,화물_8,화물_9,화물_19,화물_20,합계_전일,합계_7_9,합계_18_20,합계_8,합계_9,합계_19,합계_20
8902553,일반국도,송파대로,서울특별시,송파구,0.4110,5,40977,7173,7469,2514,2461,2613,2210,33222,5908,6285,2072,2043,2255,1895,3268,562,487,180,209,163,160,4487,702,696,263,208,195,155
8902560,일반국도,송파대로,서울특별시,송파구,0.5500,3,36064,6692,7227,2529,2651,2826,1505,30985,5858,6478,2247,2385,2607,1276,2488,372,381,124,122,121,134,2591,461,369,157,144,98,96
8902561,일반국도,송파대로,서울특별시,송파구,0.5490,3,33461,4948,8103,1788,1914,2898,2158,27819,3846,7303,1386,1514,2651,1886,2394,369,416,121,127,140,150,3248,734,384,282,274,107,122
8902566,일반국도,송파대로,서울특별시,송파구,0.3170,5,39744,6421,6845,2428,2395,2406,2110,31135,4792,5579,1796,1803,2017,1656,3997,808,664,320,293,213,252,4612,821,602,312,299,177,202
8902567,일반국도,송파대로,서울특별시,송파구,0.3240,5,37083,5965,6253,2172,2246,2179,1894,30057,4688,5232,1739,1828,1817,1600,3278,662,467,233,211,171,122,3748,615,553,200,207,190,171
8902574,일반국도,송파대로,서울특별시,송파구,0.4440,5,43552,6813,7740,2487,2524,2826,2093,36746,5682,6726,2091,2141,2481,1801,2937,484,457,172,167,156,146,3869,649,557,225,217,189,146
8902575,일반국도,송파대로,서울특별시,송파구,0.4490,5,39531,6620,7454,2494,2469,2681,2094,32733,5306,6446,2043,2005,2364,1769,2822,488,464,167,162,129,180,3977,825,544,284,301,188,145
8902578,일반국도,송파대로,서울특별시,송파구,0.4790,5,39603,6150,7134,2134,2234,2497,2071,32411,4904,6002,1744,1858,2112,1724,3029,533,473,171,172,155,159,4162,714,658,220,204,230,188
8902579,일반국도,송파대로,서울특별시,송파구,0.4820,5,38876,7148,7491,2811,2590,2708,2107,32197,5925,6454,2392,2187,2359,1783,2987,478,520,158,152,178,168,3691,744,518,261,250,171,156
8902590,일반국도,송파대로,서울특별시,송파구,0.0130,5,32439,5260,5543,1821,1771,1979,1730,26000,4191,4585,1483,1408,1664,1457,3360,527,492,187,182,157,172,3079,544,468,152,181,158,102
8902593,일반국도,송파대로,서울특별시,송파구,0.0140,5,32566,6017,5550,2286,2024,1787,1841,26159,4893,4616,1925,1639,1478,1588,3420,520,564,167,192,202,142,2988,603,372,193,193,108,111
8902595,일반국도,송파대로,서울특별시,송파구,0.3290,5,35646,5305,5787,1871,1868,1885,1725,28887,4201,4790,1489,1513,1549,1445,3011,484,445,159,179,148,144,3749,619,551,223,176,188,136
8902596,일반국도,송파대로,서울특별시,송파구,0.3230,5,34778,5883,6144,2086,2236,2221,1754,28559,4677,5231,1681,1821,1914,1457,2815,466,506,147,159,173,169,3403,739,409,258,255,135,128
8902601,일반국도,송파대로,서울특별시,송파구,0.2600,6,45379,8826,8536,3312,3259,3043,2557,35837,6958,7027,2630,2624,2531,2023,5802,1009,1016,366,364,351,378,3740,859,493,316,271,161,156
8902602,일반국도,송파대로,서울특별시,송파구,0.2620,5,40570,6192,7074,2222,2261,2271,2071,33409,4994,5969,1819,1875,1881,1769,3433,538,566,186,188,193,179,3728,659,539,217,197,197,123
8902660,일반국도,공항대로,서울특별시,강서구,0.2760,4,28848,5348,4668,2043,2100,1514,1458,25160,4729,4159,1836,1893,1370,1280,873,187,146,68,57,46,38,2814,431,363,138,150,98,140
8902661,일반국도,공항대로,서울특별시,강서구,0.9200,4,27198,4445,4814,1456,1687,1662,1492,23785,3796,4352,1225,1454,1497,1372,879,176,148,67,62,62,37,2534,472,315,163,171,103,84
8902662,일반국도,공항대로,서울특별시,강서구,0.6500,4,28249,5181,4801,2103,2016,1668,1525,24637,4545,4285,1875,1764,1499,1379,933,210,145,108,45,57,36,2679,426,370,120,207,112,109
8902667,일반국도,공항대로,서울특별시,강서구,0.0140,4,23578,4502,4213,1654,1643,1389,1373,20820,3979,3830,1487,1435,1251,1297,1051,191,223,58,85,88,42,1706,331,160,108,123,50,34
8902668,일반국도,공항대로,서울특별시,강서구,0.7250,4,28640,4680,5267,1708,1707,1886,1619,25029,4021,4787,1484,1481,1723,1496,1220,223,205,83,66,72,63,2391,435,275,141,159,91,60
8902669,일반국도,공항대로,서울특별시,강서구,0.0230,8,23347,4784,3741,1701,1872,1229,1398,19858,4109,3227,1444,1663,1062,1223,1798,382,291,160,104,102,91,1690,293,223,97,105,65,84
8902670,일반국도,공항대로,서울특별시,강서구,0.7330,4,32763,5628,6115,2014,2178,2081,1848,28534,4903,5495,1754,1919,1884,1653,1385,289,237,104,93,84,78,2844,436,384,156,166,113,118
8902687,일반국도,공항대로,서울특별시,강서구,0.1280,5,33391,6091,6162,2271,2211,2164,1967,28919,5193,5579,1929,1957,1964,1805,1527,269,254,121,75,83,90,2945,630,328,222,178,116,72
8902696,일반국도,공항대로,서울특별시,강서구,0.0760,4,29266,5854,5077,2325,1912,1661,1622,26329,5156,4631,2110,1748,1510,1508,893,216,157,104,58,65,45,2045,479,288,110,105,86,68
8902697,일반국도,공항대로,서울특별시,강서구,0.0430,4,40065,6737,5510,2604,2374,1702,1735,36884,6013,5097,2363,2150,1563,1618,960,221,155,102,65,51,51,2221,504,258,139,159,87,66
8902698,일반국도,공항대로,서울특별시,강서구,0.0580,4,33931,6007,6284,2246,2302,2099,2105,29050,5042,5561,1920,1995,1862,1863,1777,359,306,139,110,110,108,3103,605,417,186,197,127,134
8902699,일반국도,공항대로,서울특별시,강서구,0.0630,4,32865,5536,6188,1980,2162,2084,2039,27857,4604,5463,1649,1847,1859,1779,1747,351,299,135,108,109,102,3260,581,426,196,207,116,158
8902706,일반국도,공항대로,서울특별시,강서구,1.1770,4,31757,5752,5378,2208,2087,1858,1675,28004,4914,4879,1937,1803,1701,1514,985,221,182,91,69,69,46,2767,616,316,180,215,88,114
8902712,일반국도,공항대로,서울특별시,강서구,1.0350,4,40490,7483,6821,2650,2591,2271,2039,34723,6245,6013,2206,2199,2022,1753,1872,402,301,153,119,110,101,3896,836,507,291,273,140,185
8902715,일반국도,공항대로,서울특별시,강서구,0.8700,4,39158,7638,6105,2757,2590,2133,1759,34131,6608,5403,2403,2251,1892,1548,1968,401,311,150,132,110,105,3059,631,391,205,207,131,106
8902716,일반국도,공항대로,서울특별시,강서구,0.1280,4,40085,9165,5627,3295,3222,2035,1552,35327,8350,5005,3023,2914,1824,1358,1788,294,288,102,101,99,96,2970,521,332,170,207,111,98
8902718,일반국도,공항대로,서울특별시,강서구,0.1190,4,37133,5820,6822,2087,2249,2263,2194,32673,5024,6175,1859,1989,2064,1997,1869,296,299,94,99,95,109,2591,498,348,134,160,104,88
8902719,일반국도,공항대로,서울특별시,강서구,1.3870,4,35856,5939,6644,2170,2320,2252,2147,31035,5032,5954,1881,2027,2024,1935,2002,326,315,120,106,100,110,2818,581,376,169,187,129,102
8902726,일반국도,증산로,서울특별시,마포구,0.7300,3,33837,5439,5118,1846,2050,1762,1544,30101,4698,4687,1605,1817,1623,1422,850,142,121,48,51,47,32,2886,599,309,193,182,91,90
8902727,일반국도,증산로,서울특별시,마포구,0.7220,3,36782,6551,6108,2204,2363,2204,1681,32286,5728,5420,1929,2050,1944,1521,1023,182,158,62,67,56,42,3472,642,530,213,247,204,118
8902730,일반국도,월드컵로,서울특별시,마포구,0.0350,10,31954,5985,5686,2121,2205,2053,1621,26917,5039,4840,1787,1856,1680,1463,1761,267,320,102,108,122,62,3276,678,525,231,241,250,96
8902731,일반국도,월드컵로,서울특별시,마포구,0.0350,10,30086,5669,6014,2099,2408,2273,1569,26258,5017,5441,1894,2174,2066,1429,1453,203,210,72,73,74,40,2375,449,364,133,161,134,100
8902746,도시고속도로,강변북로,서울특별시,마포구,0.4520,5,99027,17400,14143,5791,5656,4809,4711,86262,15664,12605,5267,5053,4237,4243,1391,255,224,75,68,79,81,11373,1479,1313,449,534,493,387
8902748,일반국도,성산로,서울특별시,마포구,0.0530,6,69496,11592,9867,3762,4000,3280,3182,64314,10730,9093,3482,3677,2974,3033,920,214,151,50,75,54,47,4262,648,624,230,248,253,102
8902749,일반국도,성산로,서울특별시,마포구,0.0530,6,69078,12165,9560,4197,4041,3086,3289,63972,11304,8833,3906,3737,2818,3145,1158,194,208,82,63,84,42,3948,667,519,208,242,184,102
8902750,일반국도,성산로,서울특별시,마포구,0.1240,6,68760,11686,9690,3843,3996,3213,3178,63176,10615,8970,3474,3647,2952,2994,1086,232,160,85,79,61,53,4498,839,562,285,269,201,132
8902751,일반국도,성산로,서울특별시,마포구,0.1240,6,60446,10678,9400,3633,3581,3257,2859,55783,9790,8715,3352,3273,2975,2720,915,206,157,72,66,69,34,3748,681,527,209,242,212,106
8902752,도시고속도로,내부순환로,서울특별시,서대문구,2.4800,3,74514,12167,11248,4061,4037,3913,3247,66240,10751,10037,3557,3547,3524,2895,490,97,81,34,20,32,27,7783,1319,1129,470,470,357,324
8902754,도시고속도로,내부순환로,서울특별시,서대문구,1.3450,3,65841,10745,10172,3522,3621,3572,3067,57707,9406,8964,3128,3086,3135,2682,360,69,55,35,17,13,27,7774,1270,1154,359,518,424,358
